"";"titulo"
"1729";"[Visualization Series] <U+516C><U+6295><U+8CC7><U+6599><U+8996><U+89BA><U+5316><U+8207><U+9078><U+8209><U+5206><U+6790>"
"1730";"[GIS Series] <U+653F><U+5E9C><U+958B><U+653E><U+8CC7><U+6599><U+8207><U+5730><U+7406><U+8CC7><U+8A0A><U+7CFB><U+7D71><U+7684><U+4E32><U+9023><U+61C9><U+7528> & <U+6578><U+4F4D><U+6CBB><U+7406>"
"1731";"R ladies x Google Cloud Study Jam"
"1732";"[Special Series] <U+8CC7><U+6599><U+65B0><U+805E> & <U+96FB><U+4FE1><U+8CC7><U+6599>"
"1733";"R-Ladies Taipei x CNTUG Kubeflow <U+5C0D><U+65BC><U+6A5F><U+5668><U+5B78><U+7FD2><U+5E73><U+53F0><U+7684><U+9858><U+666F> | R Basic <U+8B80><U+66F8><U+6703><U+5206><U+4EAB>"
"1734";"[Data Series] <U+5F9E><U+7DB2><U+8DEF><U+5C01><U+5305><U+770B><U+5F85><U+8CC7><U+6599><U+79D1><U+5B78><U+7684><U+61C9><U+7528> | R Basic <U+8B80><U+66F8><U+6703><U+5206><U+4EAB>"
"1735";"[ML Series] <U+5E73><U+884C><U+5316><U+8A08><U+7B97><U+5728><U+96FB><U+4FE1><U+8CC7><U+6599><U+7684><U+61C9><U+7528>"
"1736";"R-Ladies Taipei x LINE Taiwan <U+4EE5><U+770B><U+5716><U+5BEB><U+8A69><U+70BA><U+4F8B><U+7684><U+5275><U+610F><U+6587><U+672C><U+751F><U+6210> "
"1737";"[Special Series] R<U+5728><U+91CE><U+751F><U+52D5><U+7269><U+65CF><U+7FA4><U+4F30><U+7B97><U+65B9><U+9762><U+7684><U+61C9><U+7528>"
"1738";"[ML Series] Machine Learning <U+5F9E><U+5165><U+9580><U+5230><U+5D29><U+6F70>"
"1739";"[AI Series] <U+5982><U+4F55><U+5229><U+7528><U+958B><U+6E90><U+7A0B><U+5F0F><U+78BC><U+9032><U+884C><U+5716><U+7247><U+53BB><U+80CC>"
"1740";"[Birthday Series] R-Ladies Taipei <U+4E94><U+6B72><U+62C9>~"
"1741";"Launch Event R-Ladies Lisbon"
"1742";"Workshop de Visualização de Dados"
"1743";"Linguagem R para Iniciados"
"1744";"Real-life examples of R & Machine Learning"
"1745";"Tidying data with R"
"1746";"The Path to Data Science"
"1747";"Present your work with Markdown and Shiny"
"1748";"Geographical data in R with the ""Leaflet"" package"
"1749";"All about Data Science!"
"1750";"R-Ladies St. Louis Open House"
"1751";"Rcpp Hands-on Workshop"
"1752";"Intro to R with DataCamp Part 1"
"1753";"Intro to R Part 2"
"1754";"Reproducible Research in R"
"1755";"Plotting something great: Making graphs in R"
"1756";"Git going with GitHub"
"1757";"Introduction to R"
"1758";"Mapping St. Louis health and social data with R"
"1759";"Graphics in base R"
"1760";"Cleaning messy data in R"
"1761";"R-Ladies PDX First Meetup"
"1762";"Text Mining with Tidy Data Principles with Julia Silge"
"1763";"November Meetup - All about Software/Data Carpentries + TidyText Group Activity"
"1764";"RStudio Show + Tell & Github Tips + Tricks"
"1765";"RStudio Show+Tell"
"1766";"Putting the FUN in R Functions!"
"1767";"South Waterfront Study Group"
"1768";"Co-Learning Deep Learning with R"
"1769";"South Waterfront Study Group"
"1770";"Ooooh Shiny! Show and Tell"
"1771";"Blog-a-thon blogdown and knitr'ing"
"1772";"R + Databases"
"1773";"R + AI Share & Tell"
"1774";"R + Meet and Share"
"1775";"R-Ladies Miami Launch Event"
"1776";"Introductory R Hands-On Workshop"
"1777";"[Postponed] Data Visualization with ggplot (next date TBD)"
"1778";"Women in Data Science Conference - Miami"
"1779";"Handling missing data using R"
"1780";"R-Ladies Miami 2019 Kickoff Happy Hour!"
"1781";"Women in Data Science Conference - Miami"
"1782";"Version Control and Workflow in RStudio"
"1783";"Joined Meetup with DSSG:SoFlo - Big Data with R in the Cloud "
"1784";"Data Analysis in R Continued!"
"1785";"Data Science + Design Thinking : A powerful combination"
"1786";"Text data analysis using R!"
"1787";"DevFest Miami 2019 "
"1788";"Accelerated Design Thinking Sprint Workshop"
"1789";"Text Mining Scientific Papers with R!"
"1790";"Holiday Celebration! <U+0001F451>"
"1791";"#5 Warszawskie Spotkanie Entuzjastów R"
"1792";"#6 Warszawskie Spotkanie Entuzjastów R"
"1793";"#7 Spotkanie Entuzjastów R"
"1794";"SER + ML @Cinema"
"1795";"#8 Spotkanie Entuzjastów R"
"1796";"#9 Spotkanie Entuzjastów R"
"1797";"Maraton zespolowej analizy danych"
"1798";"#10 Spotkanie Entuzjastów R + warsztaty z przetwarzania i prezentowania danych"
"1799";"Jak oni glosowali? - Analiza glosowan w Sejmie VII kadencji"
"1800";"Jesienne Spotkanie Entuzjastów R"
"1801";"SER + Ubezpieczenia/ SER + Insurance"
"1802";"SER 14 + Modelowanie + Allegro"
"1803";"SER 15 + GWP: elastic i pivotTable w R"
"1804";"SER 16 - 90 min z caret, nnet i Google Analytics"
"1805";"SER 17 - laRge scale"
"1806";"SER 18 <- Rcpp + przemysl papierniczy"
"1807";"SER 19  %>% PwC <- XGBoost + SQLServer2016"
"1808";"R-Ladies - Warsztaty z R"
"1809";"RBioMeSs - R and Bio-informatics/Medical statistics"
"1810";"Show me Shiny"
"1811";"Tidyverse - przeglad nowinek"
"1812";"3xR: tRzecie uRodziny SERa - podsumowanie + sesje round-tables"
"1813";"R-Ladies warsztaty z R i dplyr"
"1814";"enteRprise - Microsoft"
"1815";"R-Ladies warsztaty z podstaw R"
"1816";"SER XXVI - Wizualizacje Modeli Statystycznych"
"1817";"R-Ladies warsztaty z Markdown"
"1818";"SER XVII - Mapy + Panorama + Mapy"
"1819";"Hakaton, warsztaty i konferencja WhyR"
"1820";"Oktobe[R]fest"
"1821";"Made in Warsaw"
"1822";"Wstep do Shiny by iDash"
"1823";"SER XXXI: Analiza mowy + Swiat dla Malych i Duzych"
"1824";"Rozstrzygniecie konkursu Data Science Masters na najlepsza prace z DS i ML"
"1825";"Machine learning in R"
"1826";"MaySER"
"1827";"RxConsulting"
"1828";"After Why R? beeR"
"1829";"Pazdziernikowe SERy"
"1830";"December'18 Warsaw R Enthusiasts "
"1831";"February Warsaw R Enthusiasts Meetup"
"1832";"5th Anniversary of RUG & Perturbation based explanations of ML predictions"
"1833";"25.04.19 Why R? Pre-meeting: Segmentation with NMF + R in palaeontology"
"1834";"27.06.19: Google PageSpeed + Automated Supply Chain Management"
"1835";"12.12.19: Statistical inference with missing values + ggplot2 workshops"
"1836";"First Organizing R-Ladies Meeting!"
"1837";"R Ladies Untalk + Code Time"
"1838";"R Ladies Untalk + Code Time"
"1839";"Beginner's Walkthrough With R"
"1840";"Code and Coffee: Data Viz"
"1841";"Intro to Machine Learning with R"
"1842";"Code/Coffee/Cohort Learning The Analytics Edge"
"1843";"Code/Coffee/Cohort Learning The Analytics Edge"
"1844";"Code/Coffee/Cohort Learning The Analytics Edge"
"1845";"Code/Coffee/Cohort Learning The Analytics Edge"
"1846";"Come say hello!"
"1847";"Data Visualization"
"1848";"Building Interactive Plots with Shiny"
"1849";"Communicating Your Data Science Results and Wrangling Data"
"1850";"Start Your New Year ""R"" Resolutions!"
"1851";"Project Progress"
"1852";"Analyzing Time Series Data with Fiona Lodge"
"1853";"Git saving and collaborating with Git and Github"
"1854";"Web scraping in R"
"1855";"Springtime with R"
"1856";"Socialize with Cider"
"1857";"Fall Back into R"
"1858";"Monthly R Ladies Meeting. Topic: data.table!"
"1859";"Monthly R Ladies Meeting: Maps and GIS!"
"1860";"Buckle down! Make serious progress on your R project(s)!"
"1861";"Monthly R Ladies Meeting: R package development!"
"1862";"R Project Worktime"
"1863";"Monthly R Ladies Meeting: Tidyverse Dev Day"
"1864";"Monthly R Ladies Meeting: Writing websites in R with blogdown!"
"1865";"Monthly R Ladies Meeting: Exploring caret"
"1866";"June R Ladies Meetup: gganimate"
"1867";"Social Time with R Ladies (Postponed to Jul 22!!)"
"1868";"Rondo Library Open Data Party"
"1869";"September Meetup: Version Control (joint with TC Women in Machine Learning & DS)"
"1870";"October Meetup: Met Council Data Science (Joint with WiMLDS)"
"1871";"November Meetup: Rmarkdown and kableExtra w/ Melanie Tierney"
"1872";"December Meetup: Functional Programming (purrr) with Lindsey Dietz "
"1873";"Tanisma Toplantisi / Launch Meetup"
"1874";"Kasim Etkinligi: dplyr Paketi ile Veri Manipülasyonu"
"1875";"Aralik Etkinligi: R - Baslangiç Seviyesi Egitimi / R for Beginners"
"1876";"Ocak Etkinligi: R ile Istatistige Giris (Intro to Statistics with R)"
"1877";"Subat Etkinligi: Veri Analizi Sohbetleri - Data Talks"
"1878";"Mart Etkinligi: R Markdown ile Raporlar Olusturma"
"1879";"Nisan Etkinligi: Veri Temizligi (Data Cleaning/Cleansing)"
"1880";"Mayis Etkinligi-Sezon Finali: Veri Analizi Sohbetleri 2 / Data Talks 2"
"1881";"Eylül Etkinligi - 2.Sezon Açilisi: R Baslangiç Egitimi (R for Beginners)"
"1882";"Ekim Etkinligi: Veri Tabanlarina Giris, R ile Uygulama"
"1883";"Kasim Etkinligi: Arastirma Yöntemleri ve R ile Uygulamalar"
"1884";"Aralik Etkinligi: ggplot2 ile Veri Görsellestirme + Yeni Yila Erken Merhaba"
"1885";"Ocak Etkinligi: UI ve UX Temelleri  + R ile Shiny Uygulamalarina Giris"
"1886";"Subat Etkinligi: Regresyon Analizi ve R Uygulamalari"
"1887";"Dünya Kadinlar Günü Etkinligi: Data Talks - III"
"1888";"Nisan Etkinligi - I: Veri Gazeteciligi"
"1889";"Mayis Etkinligi: Finansal Modelleme Uygulamasi: Oynaklik Tahmini ve Simülasyonu"
"1890";"Mayis Etkinligi-II: R ile Mekansal Veri Analizi  "
"1891";"2.Sezon Finali: R Markdown + Blogdown ile Kendi Blogunuzu Hazirlayin"
"1892";"Eylül Etkinligi - 3.Sezon Açilisi: R Baslangiç Egitimi (R for Beginners)"
"1893";"Kasim Etkinligi: Veri Tabanlarina Giris, R ile Uygulamalar"
"1894";"Aralik Etkinligi: ggplot2 ile Veri Görsellestirme + Yeni Yila Erken Merhaba"
"1895";"Ocak Etkinligi: R'a Giris Egitimi"
"1896";"Dünya Kadinlar Günü Etkinligi - Data Talks IV"
"1897";"Ekim Etkinligi - 4.Sezon Açilisi: R Baslangiç Egitimi (R for Beginners)"
"1898";"Kasim Etkinligi - R ile Sosyal Ag Analizi (Social Network Analysis with R)"
"1899";"Aralik Etkinligi - R ile Zaman Serileri"
"1900";"SOCIAL: JumpstaRt your week with R-Ladies Madison"
"1901";"SOCIAL: R-Ladies Madison does Concerts on the Square with WiT!"
"1902";"SOCIAL: WRap up your week with R-Ladies Madison"
"1903";"Holiday Mix & Mingle with Women in Tech"
"1904";"Kickoff Meeting!"
"1905";"print(“Hello, Ladies :)”)"
"1906";"x <- ""Let's start"""
"1907";"step_forward(x, 1)"
"1908";"mutate(x)"
"1909";"shine(x)"
"1910";"Highlights from the useR! 2017 conference"
"1911";"repeat(intro)"
"1912";"test_and_connect_th­e_dots()"
"1913";"introduction <- function(machine_learning){}"
"1914";"lightning_talks(R-Ladies)"
"1915";"Data Christmas 2017"
"1916";"boost_and_control()           "
"1917";"webscraping <- function(x) { }"
"1918";"lapply(1:42, function(timeseries) timeseries^2)"
"1919";"group(data, method=homogeneous)"
"1920";"party_after(erum_2018)"
"1921";"pipelines, ML <- recap(eRum)"
"1922";"sep_warmup<-union(Hadley_Wickham, R_Ladies_Budapest)"
"1923";"Budapest BI Forum - panel discussion"
"1924";"RRR: Renitent Rcoholics Reunion"
"1925";"Data Christmas 2018"
"1926";"renderPrint({ ""Restart and shine some Bitcoins""})"
"1927";"# R Markdown + Machine learning"
"1928";"barplot(practise)"
"1929";"edit(Google Sheet + Calendar)"
"1930";"function(May) {Code it clean}"
"1931";"$ git init [Tensorflow]"
"1932";"Data Summer Night meetup"
"1933";"Highlights from the useR! 2019 conference"
"1934";"OktóbeR"
"1935";"DecembeR"
"1936";"Data Christmas 2019"
"1937";"Kickoff + Lightning Talks!"
"1938";"R Studio Conference Recap Movie Night! (R-Ladies Edition)"
"1939";"NASA, R-Ladies, and Austin R User Group!"
"1940";"Lightning talks-useful packages and learning to use R"
"1941";"ALL the Ladies in Tech Happy Hour!"
"1942";"R for Data Science Workshop: Exploring Data with ggplot2 + dplyr"
"1943";"Boo! Making GitHub Less Scary "
"1944";"R for Data Science Workshop: Exploratory Data Analysis and Workflow"
"1945";"Book Club: Dear Data"
"1946";"R for Data Science Workshop: Data Wrangling in the Tidyverse"
"1947";"ALL the Ladies in Tech Happy Hour: Winter Edition"
"1948";"R for Data Science Workshop: Programming -- Functions, Vectors, and Iteration"
"1949";"R for Data Science Workshop: Modeling with modelr, purrr, and broom"
"1950";"Book Club: Weapons of Math Destruction"
"1951";"Happy Hour!"
"1952";"R for Data Science Workshop: Communicating Results with rmarkdown and ggplot2"
"1953";"ALL the Ladies in Tech Happy Hour: Spring Edition!"
"1954";"From Zero to Web App with Shiny!"
"1955";"R Ladies Book Club: Everybody Lies"
"1956";"Lightning Talks: Joint Meetup with Austin R User Group at Dell Med"
"1957";"ALL the Ladies in Tech Happy Hour: Summer Edition!"
"1958";"R-Ladies Book Club: Women in Science!"
"1959";"Lightning Talks: Joint Meetup with Austin R User Group at Dell Med"
"1960";"Women's Machine Learning Bootcamp!"
"1961";"Women's Machine Learning Product Hackathon!"
"1962";"Book Club: Nice Girls Just Don't Get It"
"1963";"ALL the Ladies in Tech Happy Hour: Fall Edition!"
"1964";"Modern R for Data Science Workshop w/ Steph Locke"
"1965";"An Evening with Hadley Wickham + R-Ladies Austin"
"1966";"Book Club: Women in Tech-Take Your Career to the Next Level"
"1967";"Women in Data Holiday Party!"
"1968";"ALL the Ladies in Tech Happy Hour: Winter Edition!"
"1969";"rstudio::conf R-Ladies Meetup!"
"1970";"Galentine's Day + Feature Engineering w/ Amanda Casari"
"1971";"GitHub Patchwork Workshop"
"1972";"Lightning talks with Austin R User Group"
"1973";"ALL the Ladies in Tech Happy Hour: Spring Edition!"
"1974";"Book Club: Fundamentals of Data Visualization by Claus Wilke"
"1975";"Practical ggplot2 with Claus Wilke"
"1976";"ALL the Ladies in Tech Happy Hour: Summer Edition!"
"1977";"Book Club: Invisible Women Data Bias In a World Designed for Men"
"1978";"ALL the Ladies in Tech Happy Hour: Fall Edition!"
"1979";"Spooky Data Stories / Halloween Happy Hour!"
"1980";"Lightning talks with Austin R User Group"
"1981";"R Ladies Ankara Tanisma Toplantisi"
"1982";"R Baslangiç Egitimi ( R for Beginners)"
"1983";"Temel R Egitimi 2"
"1984";"Launch event R-Ladies Den Bosch"
"1985";"R-Ladies Bogor First Meetup"
"1986";"First R Absolute Beginner Meet Up"
"1987";"R data summary and basic plotting"
"1988";"Classical tests in R!"
"1989";"Classical tests in R (part 2)!"
"1990";"Linear regression using R!!"
"1991";"Extension of linear regression using R (part 1, maybe)"
"1992";"R-Ladies EskisehiR Tanisma Toplantisi"
"1993";"The first R-Ladies Podgorica meetup"
"1994";"Telling stories with data: make a data visualization in R  <U+7528><U+6570><U+636E><U+8BB2><U+6545><U+4E8B>:<U+7528>R<U+505A><U+6570><U+636E><U+53EF><U+89C6><U+5316>"
"1995";"satRday Lagos +  The Launch of RLadies Lagos."
"1996";"Data Mining using  R"
"1997";"1º Meetup R-Ladies Floripa"
"1998";"1º Meetup R-Ladies Floripa (continuação minicurso)"
"1999";"2º Meetup R-Ladies Floripa"
"2000";"3º Meetup R-Ladies Floripa"
"2001";"4º R-Ladies Floripa | Desigualdade de gênero e cor no Mercado da Tecnologia"
"2002";"5º Meetup R-Ladies Floripa | Minicurso de R"
"2003";"6º Meetup R-Ladies Floripa | Minicurso de R"
"2004";"Primer Encuentro R-Ladies Querétaro!!!! :) "
"2005";"Taller de introducción a R"
"2006";"Micro taller de Git, Github y RStudio"
"2007";"Introducción a tidyverse y ggplot"
"2008";"Primer encuentro R-Ladies Medellín"
"2009";"Lanzamiento R-Ladies Concepción"
"2010";"Introducción a R"
"2011";"Análisis de datos en R"
"2012";"Inteligencia Artificial con R"
"2013";"Análisis de Datos en R - Paquete Dplyr"
"2014";"MySQL y R-Project - Sistema de gestión de bases de datos relacional"
"2015";"MySQL y R - Sistema de gestión de bases de datos relacional (2ª Parte)"
"2016";"RMarkdown"
"2017";"Cross MeetUp RLadies Concepción + Power BI Chile Concepción"
"2018";"Procesamiento de Información Geoespacial"
"2019";"R-Ladies Adelaide launch event"
"2020";"R-Ladies Adelaide: May Event"
"2021";"R Absolute Beginners Workshop"
"2022";"R Absolute Beginners Workshop (Again!)"
"2023";"R-Ladies Adelaide Winter Networking"
"2024";"Introduction to R"
"2025";"Keep Calm and Code"
"2026";"Keep Calm and Code"
"2027";"Keep Calm and Code"
"2028";"Launch Meetup/Tanisma Toplantisi & R-Baslangiç Seviyesi Egitimi/R for Beginners "
"2029";"Datos & Guaros Navideño"
"2030";"Este sábado 28 de abril empieza el primer tiempo del Mundial de la Igualdad"
"2031";"Datatón por la igualdad"
"2032";"Taller de introducción a R "
"2033";"Verbos para el análisis y la limpieza de datos"
"2034";"Datos & Guaros + Lanzamiento Datasketch Store"
