"";"titulo"
"442";"Handle and analyze eye-tracking data in R – All levels welcome!"
"443";"Coffee & Get-to-know-you"
"444";"Chrismas Market"
"445";"Hadley Wickham @ Joint Vienna<-R x R-Ladies Vienna March Event"
"446";"Workshop - Introduction to R"
"447";"Session 1: Bayesian statistics study group "
"448";"Data4good hackathon"
"449";"Joint Event: Women in Tech Initiatives Meetup @PyDays"
"450";"Extending R with Packages with Bettina Grün"
"451";"Summer opening get together"
"452";"Joint November Event RLadies x Vienna<-R"
"453";"Do you feel R-curious? Join us in the R-ladies Stockholm! "
"454";"Get started with Markdown, Sweave and Shiny!"
"455";"Introduction to Machine learning in R"
"456";"Supervised classification in Machine Learning and workshop"
"457";"Presentation at Ada conference"
"458";"Basics in R package building: user centered problems and solutions"
"459";"R-Ladies Afterwork"
"460";"R-Ladies Kyiv - Launch Event "
"461";"FB Live with Mehrdad (Data Scientist @ FB)"
"462";"Workshop: Practical R "
"463";"2019 VR/AR Challenge"
"464";"Tech lunch: Data Science study group"
"465";"Data Science Study Group"
"466";"Data Science Study Group"
"467";"Data Science Study Group"
"468";"Data Science Study Group"
"469";"Data Science Study Group"
"470";"Data Science Study Group"
"471";"Cluster Analysis in R: Basic Concepts and Methods"
"472";"Regression analysis in R (Meetup #4)"
"473";"Build Day - create your startup with Facebook Open Source!"
"474";"R-Ladies Baltimore (Bmore) Launch Event! "
"475";"R-Ladies Baltimore Conference Round up"
"476";"R-Ladies Baltimore -- Using R in Industry"
"477";"R-Ladies Baltimore -- R packages for scraping data from the web"
"478";"R-Ladies Baltimore -- Tidyverse and Beyond! "
"479";"R-Ladies Baltimore -- Developing R Packages"
"480";"R-Ladies Baltimore ice-cream field trip! "
"481";"R-Ladies Baltimore -- Data Products and Presentations with R Markdown"
"482";"R-Ladies Baltimore -- Data visualizations & holiday designs!"
"483";"R-Ladies-Boulder Kickoff Meeting!"
"484";"R Ladies Boulder Meetup #2: TidyTuesday"
"485";"R Ladies Boulder Meetup #4: Ugly Holiday Plot Contest!"
"486";"R Ladies Boulder Meetup #5: Introduction to Building R Packages"
"487";"R-Ladies First Meetup"
"488";"R-Ladies First Meetup"
"489";"R-Ladies Meetup"
"490";"Starting Your Journey in Data"
"491";"Getting Started with Data Science [Workshop]"
"492";"Learning to Visualize Data"
"493";"1° MEETUP R-LADIES NITERÓI "
"494";"2° MEETUP R-LADIES NITERÓI "
"495";"3° MEETUP R-LADIES NITERÓI "
"496";"Mini Curso R-Ladies - IV SER"
"497";"Palestra: "" Análise das Bilheterias Mundiais do Cinema usando o R"" "
"498";"Minicurso de introdução à linguagem R"
"499";"VII Meetup R - Ladies Niterói"
"500";"R-Ladies GYN: Analisando dados longitudinais e ML na Indústria Alimentícia com R"
"501";"Primeira Reunião de R-Ladies Natal"
"502";"Aprendendo R com Series Temporais"
"503";"""R"" PARA PRINCIPIANTES"
"504";"R-Ladies Gainesville Launch Social"
"505";"R-Ladies Gainesville monthly meeting: Dr Auriel Fournier talks #rtweet"
"506";"Website creation in R: blogdown"
"507";"November R-Ladies meeting: Technology and the Data Revolution Discussion"
"508";"Christmas Ugly Sweater Social :) "
"509";"January R-Ladies meeting: Juniper Simonis on data and research consulting"
"510";"February R-Ladies meeting: Data visualization"
"511";"Intro to R Markdown - easy integration of text, code, references, & more"
"512";"R packages - sharing with others and helping yourself"
"513";"Making your code citable"
"514";"Book Club "
"515";"Social!"
"516";"Intro to R and RStudio"
"517";"Reproducible Research with RStudio and Docker"
"518";"Spatial R - introductory workshop"
"519";"ATL Chapter First Meeting "
"520";"Learn about Data Wrangling in R"
"521";"Hadley Wickham - Presentation at Emory University Oct 16"
"522";"Learn about Sports Analytics"
"523";"Welcome to the Tidyverse: An Introduction to R for Data Science"
"524";"Sports Analytics and R Shiny"
"525";"Inaugural R-Ladies Louisville Meetup"
"526";"R-Ladies Louisville Meeting"
"527";"R-Ladies Louisville June Meeting"
"528";"R-Ladies Louisville August Meeting"
"529";"Cincy R-Ladies Kickoff Conversation"
"530";"R-Ladies Toronto Kickoff: gt package and working with new data!"
"531";"Connecting to Google Cloud in R and Deploying models and Shiny apps with Docker!"
"532";"R-Ladies Toronto Lightning Talks! "
"533";"July Event: Ethics in Data Products and More"
"534";"October Event: Working with Text in R!"
"535";"R-Ladies Des Moines First Meetup"
"536";"R-Ladies Year of The Pig Social <U+0001F437>"
"537";"R-Ladies Des Moines March Meeting "
"538";"Introduction to Shiny"
"539";"Inaugural planning meeting // Meet and greet"
"540";"Intro to R and RStudio // Reproducibility"
"541";"Reading and wrangling data in the Tidyverse"
